@id;name;@lat;@lon;addr:city;addr:postcode;addr:street;addr:housenumber;amenity;cuisine;indoor_seating;outdoor_seating;opening_hours;website;wheelchair;Column1;_1;_2;_3;_4;_5
11233255992;Schlosstal;475064541;86841850;Winterthur;8408;Wieshofstrasse;102;restaurant;;;;"Mo-Fr 07:00-17:00; Sa,Su,PH 13:00-17:00";https://ipw.ch/ueber-uns/gastronomie-1;;;;;;;
11233267402;Shadi's Food;474971391;87470746;Winterthur;8404;Kronaustrasse;2;fast_food;lebanese;;;Mo 11:30-19:30; Tu 11:30-18:30; We-Sa 11:30-20:30;https://shadisfood.ch/;;;;;
11238072140;Sherpa MoMo & Sushi Takeaway;475013124;87472024;;;Römerstrasse;74;fast_food;;;;;;;;;;;;
11238523573;Ammas Curry;474943437;87179944;;;Lagerplatz;19;fast_food;;;;Mo-Fr 11:30-13:30;;;;;;;;
11262554588;Keren Bar;475013092;87211198;;;;;bar;;;;;;;;;;;;
11482463986;;474697686;87543380;;;;;bbq;;;;;;;;;;;;
11524983451;;475409148;87675257;;;;;bbq;;;;;;;;;;;;
11524983468;;475402979;87680932;;;;;bbq;;;;;;;;;;;;
11525703466;;475372045;87548657;;;;;bbq;;;;;;;;;;;;
11554643226;Gocha;474988827;87211451;;;;;restaurant;burger;pizza;pasta;yes;yes;;;yes;;;;
11563934256;Wintialp;475011917;87273023;Winterthur;8400;Im Stadtpark;;restaurant;;;;Nov-Feb;;;;;;;;
11650814090;;475070579;86658908;;;;;bbq;;;;;;;;;;;;
11670287541;Clubrestaurant La Gloria;474624689;87135664;;;;;restaurant;;;;07:00-00:00;;;;;;;;
11725796522;Ristorante La Rosa;474935234;87155047;;;;;restaurant;italian;;yes;"Tu-Fr 11:00-14:00,18:00-23:00; Sa 16:00-23:00; Su 11:00-17:00";https://www.ristorante-larosa.ch/;;;;;;;
11742734354;Salon Erika;475011751;87183378;;;;;bar;;;;;;;;;;;;
11818443358;Transit Laden + Bistro;475051637;87746191;Winterthur;8409;Rümikerstrasse;45;cafe;;;;;https://stadt.winterthur.ch/themen/leben-in-winterthur/arbeit-steuern/arbeitsintegration/dienstleitungen-und-produkte/transit-hegi;;;;;;;
12128125202;Bistro Villa Sträuli;475016982;87286933;;;;;restaurant;italian;mediterranean;;;Mo-Fr 10:00-14:00;https://www.villastraeuli.ch/de/bistro;;;;;;
12145809201;Pizzeria Don Camillo;474980547;87277825;;;;;restaurant;italian;;;;;;;;;;;
