@id;name;@lat;@lon;addr:city;addr:postcode;addr:street;addr:housenumber;amenity;cuisine;indoor_seating;outdoor_seating;opening_hours;website;wheelchair
359685942;Strauss;47.5003358;8.7272460;Winterthur;;Stadthausstrasse;8;restaurant;regional;;;Mo-Sa 10:00-24:00;https://www.strauss-winterthur.ch/;limited
359686638;Rosa Pulver;47.5004628;8.7268709;Winterthur;8400;Stadthausstrasse;10;restaurant;regional;;;"Tu-Fr 11:30-13:30, 18:00+; Sa 18:00+";https://rosapulver.ch/;
359686907;Coop Restaurant;47.5008859;8.7260018;;;;;restaurant;;;;Mo-Sa 08:00-20:00;;yes
359687037;Santa Lucia;47.5009387;8.7252033;Winterthur;8400;Bahnhofplatz;12;restaurant;pizza;;;"Mo-Fr 11:30-14:00,17:30-22:30; Sa,Su 11:30-22:30";https://www.bindella.ch/de/santa-lucia-winterthur.html;limited
359687167;Coal Mine Bar;47.5004342;8.7251948;;;;;pub;;;;;;no
359687975;Restaurant Trübli;47.4989829;8.7262079;Winterthur;8400;Bosshardengässchen;2;restaurant;;yes;no;Tu-Sa 16:00-23:30;https://restaurant-truebli.ch;
359688178;Typisch Thai;47.4984254;8.7261656;Winterthur;8400;Neumarkt;3;restaurant;thai;;;"Mo-Fr 10:00-14:00,17:00-23:00; Sa,Su 17:00-23:00";https://www.typischthai.ch;
359690143;Thurbinä;47.4992687;8.7284821;;;;;pub;;yes;yes;"Tu,We 15:00-23:00, Th 15:00-24:00, Fr 15:00-01:00, Sa 14:00-01:00, Su 15:00-21:00";;no
359690232;Le ciel bleu;47.4978440;8.7284816;Winterthur;8400;Technikumstrasse;44;pub;;;;;;no
359690395;Brasserie Rössli;47.4977995;8.7278351;Winterthur;8400;Technikumstrasse;56;restaurant;mediterranean;;yes;"Tu-Fr 11:45-14:00,18:00-22:30; Sa 18:00-22:30";https://www.brasserie-roessli.ch/;no
359690485;Gwölb;47.4980808;8.7289351;Winterthur;8400;Steinberggasse;29;pub;;;;;;no
359690572;Riva;47.4983902;8.7301298;Winterthur;8400;Steinberggasse;2;pub;;;;"Mo,We,Th 08:00-24:00, Tu 07:00-24:00, Fr 07:00-01:00, Sa 08:30-01:00, Su 12:00-22:00";;
359690720;Obergass;47.4988710;8.7301867;;;;;restaurant;;;yes;Mo 17:00-24:00; Tu-Fr 08:00-24:00; Sa 09:30-24:00;http://www.restaurant-obergass.ch/;no
359690786;Tamam;47.4979455;8.7294072;Winterthur;8400;Technikumstrasse;28;fast_food;kebab;mediterranean;;;Tu-Sa 11:00-21:30; Mo 11:00-21:00;;no
359690871;Sonne;47.4996801;8.7298391;Winterthur;8400;Marktgasse;15;restaurant;regional;;;"We-Su 11:00-14:30,17:00-22:00+";https://www.zur-sonne.ch/;
359691092;La Pergola;47.5001230;8.7291699;Winterthur;8400;Stadthausstrasse;71;restaurant;italian;;yes;"Mo-Sa 09:00-14:00,17:00-23:00; Su off";https://www.la-pergola.ch/;limited
359691412;Cantinetta Bindella;47.4997238;8.7287787;Winterthur;8400;Marktgasse;44;restaurant;italian;;yes;Mo-Sa 11:30-22:30; Su 12:00-22:00;https://www.bindella.ch/de/cantinetta-bindella-winterthur.html;yes
359692073;Orsini;47.4987259;8.7247369;Winterthur;8400;Technikumstrasse;96;restaurant;;;yes;"Mo,Tu 10:00-22:00; We-Fr 10:00-23:00; Sa 15:00-23:00";;no
359692293;Stricker’s;47.4995420;8.7201703;;;;;restaurant;international;burger;regional;tapas;yes;yes;Mo-Th 11:00-23:00; Fr 11:00-24:00; Sa 09:00-24:00; Su 09:00-16:00;https://restaurant-strickers.ch/;no
359692440;Bellevue;47.5019996;8.7185647;;;;;restaurant;italian;;yes;Mo-Su 10:00-23:00;https://bellevue-pizzeria.ch/;no
359692842;Stadion;47.5023945;8.7182843;;;;;restaurant;;;;Mo-Fr 06:45-23:00; Sa 08:00-19:00; Su 08:00-14:00;;
359693315;Central;47.5060238;8.7148178;;;;;restaurant;;;;"Mo-Fr 08:00-14:00, 16:00-23:00; Sa 17:00-23:00";;
359694751;No18;47.5042060;8.7206480;Winterthur;8400;Wülflingerstrasse;18;restaurant;regional;;;Th-We 11:30-01:00; Th-Fr 11:30-02:00; Sa 15:00-02:00;https://18-winterthur.ch/;
359694784;Tandoor;47.5046210;8.7195676;;;;;restaurant;indian;;;"Mo-Fr 11:00-14:00,18:00-24:00;Sa-Su 18:00-24:00";http://www.restaurant-tandoor.ch/;no
359695274;Piazza;47.5052041;8.7172595;Winterthur;8400;Walkestrasse;23;restaurant;pizza;kebab;;;"Mo-Th 17:00-22:30, Fr 17:00-23:00, Sa 12:00-23:00, Su 12:00-22:00";https://www.piazzapizza.ch/;
359700824;Lori Take Away;47.5073743;8.7258670;Winterthur;8400;Brunngasse;41;fast_food;kebab;;;Mo-Th 10:00-23:00; Fr-Sa 10:00-24:00; Su 10:00-23:00;;no
359701183;Äusserer Lindhof;47.5077581;8.7253968;Winterthur;8400;Blatterstrasse;1;restaurant;regional;;;"Mo 06:00-13:30; Tu-Fr 06:00-13:30, 16:00-22:00; Sa 08:00-14:00";;
369825427;Salitre;47.4961895;8.6986067;;;;;restaurant;;;;;;
380488748;Punto e Pasta;47.4991725;8.7313796;;;;;restaurant;italian;;;Oct 1-Apr 30 Mo-Su 11:00-23:30; May 1-Sep 30 Mo-Su 11:00-24:00;https://punto-et-pasta.ch/;yes
382989332;Barnabas;47.4966260;8.7274275;Winterthur;8400;Büelrainstrasse;1;restaurant;asian;;yes;Tu-Sa 18:00-23:00;https://barnabaswinti.ch/;no
387228479;Billabong Sport's & Music Bar;47.4843234;8.7025990;Winterthur;8406;Zürcherstrasse;260;bar;australian;yes;yes;06:00-00:00; Sa 14:00-00:00; Su off;http://www.billabong-pub.ch/;
387450211;Das schmale Handtuch;47.4972516;8.7275212;;;;;pub;;;yes;"Tu-Th 16:00-24:00, Fr 16:00-02:00, Sa 18:00-02:00";http://www.dasschmalehandtuch.ch/;limited
412728346;Blumenau;47.5073010;8.7108669;;;;;restaurant;regional;;;;;
412729253;Haku;47.4984069;8.7381431;;;;;restaurant;japanese;;;"Tu-Sa 11:00-14:00,17:30-22:00";https://www.haku-restaurant.ch/home;limited
412760190;Oliveira;47.4912979;8.7075577;Winterthur;8406;Stationsstrasse;3;restaurant;portuguese;;;Tu-Fr 10:30-22:00; Sa 10:00-22:00; Su 10:00-20:00;;no
441314886;Freieck;47.4803434;8.7639702;;;;;restaurant;;;;"Su-Tu 10:00-23:30, Fr,Sa 10:00-00:30";;
471627998;Baby;47.4981269;8.7232638;Winterthur;8400;Untere Vogelsangstrasse;7;pub;;;;;;
471627999;Archbar;47.4985743;8.7234927;Winterthur;8400;Archstrasse;2;pub;;;;Mo-Fr 16:30+; Sa 19:00+;;
471628000;Molino;47.4994389;8.7277569;Winterthur;8400;Marktgasse;45;restaurant;pizza;;;Mo-Su 10:00-23:00;https://molino.ch/de/pizzeria-ristorante-molino-winterthur;limited
472383224;1st Choice;47.5107345;8.6944731;;;;;bar;;;;;;
472774192;Zermatt Kebap Haus;47.4978528;8.7285770;Winterthur;8400;Technikumstrasse;42;fast_food;kebab;;;;;no
498891528;San Remo;47.5071480;8.7257511;Winterthur;8400;Brunngasse;35;restaurant;italian;;yes;"Mo-Fr 11:00-14:00,17:30-22:30; Sa 17:30-22:30; PH off";;
534876365;Buon Gusto;47.5050499;8.7184541;;;;;restaurant;;;yes;"Mo-Fr 11:00-14:00, Mo-Fr 17:00-22:00+; Sa 18:00-22:00+";;
534878149;nachbarsbox;47.5048564;8.7189785;Winterthur;8400;Wülflingerstrasse;28;restaurant;grill;salad;bread;;yes;"Mo, Tu, Th 07:00-18:00; We, Fr 07:00-24:00; Sa, Su, PH off";https://www.facebook.com/nachbarsbox/;
534917835;Bistro Alte Kaserne;47.4979559;8.7313352;Winterthur;8403;Technikumstrasse;8;restaurant;;;;Mo-Fr 09:00-22:30; Sa 15:00-22:30;https://altekaserne.ch/bistro/;
548913444;Schwimmbad Wülflingen;47.5120340;8.6848455;;;;;restaurant;;;;;;
548915072;Weinberg;47.5163992;8.6795583;;;;;restaurant;;;;;;
548920489;La Bodega Carlo;47.5026529;8.7198587;;;;;restaurant;spanish;;;"Tu-Fr 08:30-14:00,17:00-23:00; Sa 09:30-14:00,17:00-23:00";;limited
548920518;Osteria del fiore;47.5012974;8.7212681;;;;;restaurant;italian;;;"Mo-Fr 11:30-14:00,18:00-23:00; Sa 16:00-24:00; Su 16:00-22:00";https://www.osteriadelfiore.ch/;
548920700;Fu Ji;47.4989065;8.7212551;;8400;Strickerstrasse;3;restaurant;asian;yes;yes;Mo-Su 11:00-22:00;https://fujirestaurant.ch/;yes
556746551;Pizzeria Schwanen;47.4941104;8.7145030;;;;;restaurant;pizza;pasta;yes;yes;"Mo-Fr 08:30-14:00,17:00-24:00; Sa 17:00-23:00";;no
560156308;Maharaja Curry;47.5011461;8.7211262;Winterthur;8400;Wartstrasse;23;restaurant;indian;;no;"Mo-Fr 11:30-14:00,18:00-23:00; Sa 18:00-23:00";https://www.maharaja-curry.ch;no
560157037;Tibet Bistro;47.5017718;8.7209446;;;;;restaurant;tibetan;;;"Tu 17:30-21:30; We-Su 11:30-14:00, 17:30-21:30";;
561504426;Food Corner Swiss;47.4990805;8.7234884;;;;;fast_food;kebab;no;pedestrian_zone;Su-Th 11:00-02:00; Fr-Sa 11:00-06:00;https://www.foodcorner-swiss.ch/;yes
561504452;La Torre;47.4978808;8.7235621;;;;;restaurant;;;;;;
561524250;Winti-Kanne;47.4981673;8.7291301;Winterthur;8400;Steinberggasse;25;restaurant;regional;mediterranean;;;"Tu-Fr 11:30-14:00,18:00+; Sa 18:00+; Mo,Su open ""Auf Anfrage""; PH closed";https://www.wintikanne.ch/;
564669032;Sargin Kebap Haus;47.4912971;8.7067075;;;;;fast_food;kebab;;;"Tu-Fr 10:00-21:00; Sa,Su 11:00-21:00";;no
564669037;Poly;47.4914174;8.7061859;;;;;fast_food;kebab;;;;;
564670033;Kuhn;47.4993780;8.7219049;;;;;cafe;;yes;yes;Mo-Fr 06:30-20:00; Sa 07:00-18:00; May-Oct Su 08:00-14:00; Nov-Apr Su 08:00-17:00;;limited
564670042;Boulevard;47.4995031;8.7244639;Winterthur;8400;Stadthausstrasse;143;restaurant;burger;;;"Mo-Th 05:45-00:30, Fr 05:45-02:30, Sa 09:00-02:30, Su 10:30-00:30";;no
564670052;Gilgamesh Bar und Lounge;47.4996240;8.7253230;Winterthur;8400;Stadthausstrasse;135;pub;;;;"Mo-Th 12:00-02:00, Fr,Sa 12:00-05:00, Su 13:00-02:00";;
564888514;Brauhaus;47.4986288;8.7261468;Winterthur;8400;Neumarkt;7;restaurant;;;yes;"We,Th 11:00-23:30; Fr 16:00-23:30; Sa 14:00-23:30; Su 10:00-15:00";https://www.brauhaus.ch/gastro-winterthur;limited
564888543;Restaurant Alterszentrum Neumarkt;47.4986144;8.7267513;Winterthur;8400;Neumarkt;6;restaurant;regional;;;Mo-Fr 07:30-17:00;;yes
574671585;Labüsch Bar;47.4950888;8.7178027;;;;;pub;;yes;yes;;https://labuesch.com/de/bar_galerie;
574685031;Manta Bar;47.4983110;8.7172632;Winterthur;8400;Neuwiesenstrasse;1;fast_food;;yes;yes;Mo-Fr 09:00-15:00;;limited
593846241;El Burrito Feliz;47.4994087;8.7198400;Winterthur;8400;Schützenstrasse;8;restaurant;mexican;;yes;"Mo-Sa 11:30-14:00,17:30-22:00; PH closed";https://www.elburritofeliz.ch/;limited
632149361;Rössli;47.4822603;8.7612293;;;;;restaurant;;;;Tu-Fr 08:30-23:00; Sa 11:00-23:00; Su 11:00-17:00;;
648047492;Al Mouchtar;47.5020586;8.7270092;Winterthur;8400;Theaterstrasse;7;fast_food;syrian;;;Mo-Su 10:00-20:00;;no
651516557;Sonne;47.4840926;8.7597534;;;;;restaurant;pizza;;;;;
659475608;Hermannseck;47.4981027;8.7409953;;;;;restaurant;regional;;;Mo-Fr 09:00-23:00; Sa 17:00-23:30;;no
663893225;Eulach-Treff;47.5108415;8.6951973;;;;;restaurant;;;;;;
675161654;Locanda Trivisiano;47.4997184;8.7261232;Winterthur;8400;Stadthausstrasse;121;cafe;;;;Mo-Sa 09:00-24:00;;
675161668;Royal Döner;47.4996060;8.7251847;Winterthur;8400;Stadthausstrasse;137;fast_food;;;;;;yes
677194766;Tom Yam;47.5035719;8.7521674;;;;;restaurant;thai;;;"Mo-Fr 11:00-14:00,17:30-23:00; Sa 17:30-23:00";;
687625761;LoiMy;47.5000603;8.7285738;Winterthur;8400;Stadthausstrasse;83;cafe;bubble_tea;;;"Mo,We,Fr 11:30-18:00; Sa 11:30-17:00";;
703057903;Ocean Five;47.4985230;8.7261594;Winterthur;8400;Neumarkt;5;restaurant;burger;;yes;"Mo-Th 11:00-00:30, Fr 11:00-02:30, Sa 12:00-02:30, Su 17:00-00:30";https://www.oceanfive.ch/;limited
703057906;Zum Goldenen Horn;47.4988298;8.7261226;;;Neumarkt;13;restaurant;turkish;;;"Mo-Th 11:00-23:00; Fr, Sa 11:00-00:00; Su 12:00-21:00";;limited
705760974;Breite;47.4901635;8.7256654;;;;;restaurant;;;;;;no
708997924;Tearoom Teekult;47.4981741;8.7292903;Winterthur;8400;Steinberggasse;21;pub;;;;Tu-Fr 11:30-18:30; Mo 11:30-18:30; Sa 09:00-17:00;https://www.teekult.ch/;no
709022313;Insieme;47.4984079;8.7288259;Winterthur;8400;Steinberggasse;24;cafe;italian;;;;https://insieme-piadineria.ch/;
709078361;Café Zentrum;47.4989510;8.7260438;;;;;cafe;;;;"Mo 08:30-17:00; Tu 08:00-18:30; We, Th 08:30-18:30; Fr 08:00-18:30; Sa 08:30-18:30; Su 10:00-17:00";;
710880571;Silberkeller;47.4983744;8.7282627;Winterthur;8400;Steinberggasse;26;restaurant;;;no;;http://www.silberkeller.ch;
712608636;Lucky Smash;47.4980881;8.7276003;;;;;restaurant;burger;;;"Mo,Su off; Tu-Th 18:00-21:30; Fr 18:00-22:30; Sa 16:00-22:30";;
731833436;Tech Point;47.4978010;8.7276201;;;;;fast_food;kebab;;;;;
738947656;Kaffeeleben;47.4991238;8.7277049;Winterthur;8400;Metzggasse;16;cafe;;;;"Mo,Su off; Tu-Sa 09:00-17:00";https://kaffeeleben.ch/;no
749913670;Bistro La Couronne;47.4991204;8.7274751;Winterthur;;Marktgasse;49;restaurant;;;;;https://www.kronewinterthur.ch/;
749928336;il salottino;47.4985477;8.7287480;Winterthur;8400;Pfarrgasse;4;pub;;;;"Su,Mo off; Tu,Th,Fr 09:00+; We,Sa 14:00-18:00+";https://ilsalottino.ch/;
763523652;De Tapas;47.4981734;8.7316880;Winterthur;8400;Tösstalstrasse;8;restaurant;;;;Tu-Fr 17:00-23:00; Sa 15:00-23:00;;
763523653;La Panetteria;47.4981861;8.7315850;Winterthur;8400;Tösstalstrasse;6;restaurant;;;;"Mo-Fr 11:00-14:00,17:30-23:00; Sa 18:00-23:00";;
763523656;Green Klub;47.4980864;8.7322430;Winterthur;8400;Tösstalstrasse;18;bar;;;;;;
854335396;Restaurant Technorama (ZFV);47.5136440;8.7644672;;;;;restaurant;;yes;yes;Mo-Su 10:00-17:00;;yes
917755893;Eurest / Restaurant Technopark Winterthur;47.4946208;8.7167601;Winterthur;8406;Technoparkstrasse;2;food_court;;;;Mo-Fr 07:00-14:00;https://clients.eurest.ch/de/tpw/home;yes
927397061;Grill - Take Away;47.5196057;8.7179758;;;;;fast_food;;;;;;limited
966324137;Banane;47.5042768;8.7255421;;;;;restaurant;;;;"Mo-Su 11:30-14:00, 18:00-22:30";;
966324570;Banana Bar;47.5042006;8.7255233;;;;;bar;;;;;;
1092038913;;47.4888569;8.7287145;;;;;bbq;;;;;;
1328945988;Mare et Monti;47.4849589;8.7629776;;;;;restaurant;;;;;;yes
1374191997;Sessel;47.4622906;8.7714855;;;;;bbq;;;;;;
1479407508;Schloss Wülflingen;47.5113417;8.6995040;Winterthur;8408;Wülflingerstrasse;214;restaurant;regional;;yes;"Mo-Fr 11:00-14:00,17:30-22:00; Sa-Su 11:00-22:00";http://www.schlosswuelflingen.ch/;limited
1483019192;Cotton Corner Bar;47.5013615;8.7260868;;;;;pub;;;;"Mo-Th 08:45-24:00, Fr 08:45-01:00, Sa 16:00-01:00";;no
1488980360;Zum grünen Hund;47.4907705;8.7125390;;;;;restaurant;regional;;;"""temporarily closed""";http://gruenerhund.ch;
1519474203;Migros Restaurant;47.4853872;8.7627865;Winterthur;8405;Hinterdorfstrasse;40;restaurant;international;;no;"Mo-We 08:00-19:00; Th,Fr 08:00-20:00; Sa 08:00-18:00";https://filialen.migros.ch/de/migros-restaurant-winterthur-seen;
1519868844;Bodega Bar;47.4997012;8.7243780;;;;;cafe;;;;Mo-We 09:00-22:30; Th-Sa 09:00-23:30; Su 10:00-21:30;;
1531299433;Kiosk AG;47.4979196;8.7165097;;;;;fast_food;;yes;no;Mo-Fr 08:00-14:00;;limited
2172799512;Siam Chili;47.5040910;8.7294585;Winterthur;8400;Lindstrasse;27;restaurant;thai;;;Mo 09:00-14:30; Tu-Fr 09:00-20:00;;
2424697821;Café Augenblick;47.5071968;8.7548674;;;;;cafe;;yes;yes;"We,Fr 08:00-19:00; Sa 09:00-17:00; Su 10:00-17:00; Th 08:00-19:00";;outside
2424718821;Restaurant Pizzeria Schmiede;47.5063228;8.7571254;;;;;restaurant;italian;;;"Mo-Fr 11:00-13:00, 17:00-22:00; Sa-Su 17:00-22:00";;
2424720789;Bahnhöfli Oberi;47.5078362;8.7585596;Winterthur;8404;Römertorstrasse;4;restaurant;;;;Tu-Th 11:30-23:00; Fr 11:30-00:00; Sa 16:00-00:00;https://bahnhoefli-oberi.ch;
2424723261;Restaurant Sonneck;47.5072954;8.7541469;;;Römerstrasse;159;restaurant;regional;;;"Mo-Th 09:00-14:00, Fr 09:00-14:00, Mo-Th 16:30-23:30, Fr 16:30-24:00";https://www.sunnegg.ch;yes
2424724704;Matterhorn;47.5074494;8.7549274;;8404;Römerstrasse;;fast_food;kebab;;streetside;"Su,Mo 09:00-22:00; Tu-Sa 09:00-23:00";;no
2424724937;Thai Lotos Garden;47.5075362;8.7551433;;;;;restaurant;thai;;;"Tu-Fr 11:30-14:00,17:30-23:00; Sa 17:30-23:00";;no
2451608588;Shimbala;47.5048376;8.7660267;Winterthur;8404;Ida-Sträuli-Strasse;71;restaurant;tibetan;sushi;indian;western;yes;yes;"Mo-Fr 11:00-14:30, 17:30-22:00; Sa 17:00-22:00";https://shimbala.ch/;yes
2451641185;Gerry's Bar;47.5044596;8.7636097;Winterthur;8404;Else-Züblin-Strasse;;restaurant;pizza;;;"Tu-Fr 09:30-14:30, We-Su 17:00-22:00";https://www.gerrysbar.ch/;yes
2451643514;Restaurant Eulachpark;47.5046920;8.7628234;;;Barbara-Reinhart-Strasse;;restaurant;;;;"Tu 10:00-15:00, We-Th 10:00-22:00, Fr-Sa 10:00+, Su 11:00-21:00";https://www.restaurant-eulachpark.ch/;yes
2457539648;Restaurant Burehus;47.4866133;8.7594559;;;;;restaurant;regional;;;Mo-Fr 09:00-23:30; Su 11:00-17:00;;
2466736061;Tres Amigos;47.5006088;8.7270725;;;;;restaurant;mexican;;yes;"Mo-Th 10:00-24:00, Fr-Sa 10:00-02:00, Su 10:00-23:00";https://www.tresamigos.ch/winterthur/;no
2486983218;Kafi Müli;47.5060346;8.7603588;;;Hegifeldstrasse;2a;restaurant;coffee_shop;yes;yes;Mo-Fr 08:30-16:30;https://www.kafimueli.ch;
2493971952;Bloom;47.5010807;8.7325260;;;;;restaurant;;;;"Mo-Fr 06:30-23:00; Sa,Su 07:00-23:00";https://bloom.ch/;
2540938577;Asia King;47.4901982;8.7093650;;;;;restaurant;nepalese;;;;;
2546033390;Cooperativa;47.5013027;8.7258319;Winterthur;8400;Museumstrasse;74;restaurant;;;;Tu-Sa 16:00-23:00;;
2570468652;Al Giardino;47.4943016;8.7399559;Winterthur;8400;Tösstalstrasse;70;restaurant;italian;french;spanish;;;"Tu-Th 11:30-14:00,17:30-23:30; Fr 11:30-14:00,17:30-24:00; Sa 17:30-24:00; Su,Mo off";https://algiardino.ch/;
2649686873;imo Döner;47.5071594;8.7123153;Winterthur;;Wülflingerstrasse;66;fast_food;kebab;;;;;
2666984905;Bistro Gate 27;47.5038264;8.7285402;;;Theaterstrasse;27b;restaurant;;;;Mo-Fr 09:00-14:30;;yes
2795232150;Thai Bamboo;47.5001143;8.7293120;;;;;restaurant;thai;;;"Mo-Sa 11:30-14:00,17:00-22:00; Su 17:00-22:00";https://thaistyle-winterthur.ch/;
2941529903;Grand Café du Musée;47.4991780;8.7294806;Winterthur;8400;Kirchplatz;14;cafe;;;;;;
2955638928;Taggenberg;47.5197332;8.6842279;;;;;restaurant;;;;;;
3124969715;Dunkin';47.4992989;8.7241073;Winterthur;8400;Bahnhofplatz;4;fast_food;donut;coffee_shop;;;"Mo-Sa 08:00-21:00; PH,Su 09:00-20:00";;
3124969719;Manta Sandwich-Bar;47.4998710;8.7312983;;;;;fast_food;;;yes;"Mo-We,Fr 07:30-19:00; Th 07:30-20:00; Sa 08:00-18:00; Su 11:00-18:00";;limited
3275087003;Culinarium Museumstrasse;47.5010925;8.7355238;;;;;restaurant;;;;Mo-Fr 11:30-13:30;http://culinarium-museumstrasse.sv-group.ch/;
